@relation "temp2.txt"

@attribute id string
@attribute tweet string
@attribute emotion string
@attribute class string

@data
"2017-En-40132","	@HutchinsonDave no sé si a desesperación o agitar para un cull.	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-40496","	Marcos rojo los juegos para hombre unieron !!  Justo dejado aquello se hunde en !!!	","sadness",	"0: no sadness can be inferred"
"2017-En-40292","	Miradas de naturaleza mucho más verdes en gloomy dayz	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40921","	@SentinalsMom *Baal dashed delantero, aumentó adelante por su poder de vuelo. Su espada señalada en Void, significado para parar justo corto de su--	","sadness",	"0: no sadness can be inferred"
"2017-En-41480","	 realmente necesite a pout todo el tiempo - subiendo mis nervios #GBBO	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40947","	el sueño muestra qué cisco 642-188 pdf melancholy: aHid	","sadness",	"0: no sadness can be inferred"
"2017-En-40151","	 soy slugging vitamina D píldoras por el handful, gusta  eran m&amp;ms. Cuándo  esto fin de invierno eterno?! #Melbourne #Siniestro #overit	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40358","	#Terencecutcher #Tulsa el hombre onthe el helicóptero dijo que parece un malo dude, aquello es el problema, cuándo ven negros ven malos,	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-40909","	Im habiendo una vida real conundrum cuz i cant encontrar un sitio bueno para mi mini hoop y su realmente empezando para deprimirme	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-41183","	@RobertWesley3 I soy #loco que mi hermano es #triste ! Siente mejor bub!	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40997","	 Miro en algunos de los jugadores medianos que juego en el min y pino Nani, Rafael , RVP ,	","sadness",	"0: no sadness can be inferred"
"2017-En-40377","	@raylewis Tío de cambio del nombre Remus Lewis #foh #theydontlikeyoueither #perdido #unwoke	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-40225","	@RevTrevK @Wolfman93011 @Daraidernation @EROCKhd Toma 2k fuera de él los números encima enloquecen es abajo y ha caído y las personas son infelices	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40144","	@Samkingftw ew omg aquello es tan siniestro	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-41509","	... Huh. Quizás... Porque  somos ambos tan dreary,  marchamos bien?	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40726","	hay no lado oscuro en la luna. De hecho,  es todo oscuro.'\nGerry O'Driscoll Al final de 'El lado Oscuro de la Luna'	","sadness",	"0: no sadness can be inferred"
"2017-En-40135","	MI COCHE ES ABOLLADO DEL GRANIZO triste	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-40700","	@hotelplanner  me quedé en un hotel que  comidas de picnic empaquetado para apechugar con la carretera!! #BetterTogether @Redlizzy1 @NewfieChic @Mariquita_Vic	","sadness",	"0: no sadness can be inferred"
"2017-En-41204","	Drinkin me algunos vino rojo &amp; escuchando a algunos fred mcdowell jugando el #blues . No juegue ningún #rocknroll. Ruido fantástico  #justsaying	","sadness",	"0: no sadness can be inferred"
"2017-En-41334","	@tonygoldmark Yeah no lo lloraré pero soy feliz  lo monté la última vez  visité.	","sadness",	"0: no sadness can be inferred"
"2017-En-41451","	Sí  estoy cogiendo palos y piñas en mi patio de frente	","sadness",	"0: no sadness can be inferred"
"2017-En-41066","	  sabes cuánto  hace daño para verte el amigo mejor triste?	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-41347","	@Megane_Mate @HikariMorou próximo a desesperación, brillos de esperanza incluso más brillantes (me consigo Mate)	","sadness",	"0: no sadness can be inferred"
"2017-En-40551","	Gusta, 'loon ático'. Afortunadamente él deprisa hundido en aquel sea la pronunciación incorrecta, pero todavía no podría parar diciéndolo. Justo enganche.	","sadness",	"0: no sadness can be inferred"
"2017-En-41421","	@katethecursed @shannonrdk LOL Este día es demasiado gloomy para ser personas, tendría que haber cancelado y quedado en empotrar	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-41134","	Cómo un papá sentiría saber su hija está consiguiendo dashed alrededor para whines en el rave😭	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-41027","	pienso aprender clásico o antiguo japonés me podría ayudar me conseguir permanentemente fuera de depresión. A veces adolezco los feministas	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-41495","	repentinos se tendrían que preguntar, por qué son tan infelices, y por qué  carecen de amor en sus vidas. Es b/c  están luchando un juego de perder?	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-40140","	 Olvidé mi cabello straightner casa, estoy sintiendo perdido sin él... #Perdido #lostWithoutMyHairStraightener	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-40612","	No bastante seguro cómo Craig Gordon está quedado en el parque allí !!	","sadness",	"0: no sadness can be inferred"
"2017-En-41417","	Verdaderamente siento gustar la ciencia tiene la habilidad de hacer una leche fuera de cualquier cosa ... cashew Leche, leche de cáñamo, leche de fruto seco del pino, leche de diente de león	","sadness",	"0: no sadness can be inferred"
"2017-En-40490","	Higginbotham  flippant despido de cualesquier preocupaciones alrededor de Carrick  la carencia de paso es dismal. Contra centrocampistas ágiles Carrick será expuesto	","sadness",	"0: no sadness can be inferred"
"2017-En-40087","	Así que Mary Berry, Mel y Demanda ha ido con sus principios, y @PaulHollywood  ha ido con la fama y fortuna. #GBBO  #Deprimiendo	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-41406","	@rclemmons mucha #tristeza y #heartbreak	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-20634","	@ynnsanity Quizás es por eso que,  estamos preguntar para estudiar duro y conseguir un trabajo que nos gusta. Aquella manera no sea que terrible.	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-41135","	tim burton Nunca falla para deprimirme	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40460","	es oscuro	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-40861","	Mis 2 hijos de adolescentes justo dejados en el automovilísticos de conseguir cortes de pelo.  Estoy rogando arriba de una tormenta que  lo hacen en casa sin incidentes!!  #TerenceCrutcher	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-40829","	Folk Banda 'Cardo Abajo' será reemplazado por 'El Cuarteto de Edwards del Paul' en Parque de Banco del Laurel Sentó 24 11soy - 3pm debido a jazz de salud #enferma #blues	","sadness",	"0: no sadness can be inferred"
"2017-En-41435","	Históricamente japonés siempre ha sido a #jazz y #blues. El 70s edad oscura de jazz a nombres grandes les gusta C.C. &amp; M.D. Sobrevivía encima Tokyo.	","sadness",	"0: no sadness can be inferred"
"2017-En-40149","	Si me encuentro perdido,   te quedas como passerby o   consigues perdido conmigo? #musings #melancholy	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40792","	Dando al triunfo pone un más húmedo en un muy apasionante @Cubs estación. Mirada realmente mala, Ricketts familia.	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-40293","	@JamesWickham Felicitaciones!  Mi casa superior-poseyendo consejo: prueba no para mirar en vuestra hipoteca equilibra demasiado a menudo.  La lentitud te deprimirá.	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40565","	@m_giacchino  esto ser aireado en radiofónico o filmó? Muchos seguidores sobre el pond también! #wales #Perdió	","sadness",	"0: no sadness can be inferred"
"2017-En-40415","	@WYSdaily soy seguro NUNCA experimentarán nuestros éxitos de último 50yrs. Más  pueden esperar para es para ser otro Bournemouth	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-40992","	@HoggyBear95 el bantz es absolutamente superior entalla, inconsolable era cuándo yo realizó	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40543","	Floofel.i Maravilla si vuestra madre sabe qué oscura vuestro humor puede ser.Necesidades de realizar cuánto de una Manzana de culata es. Pastels Y gatos.cutie Pastel.	","sadness",	"0: no sadness can be inferred"
"2017-En-40918","	El pino colada starburst malo.  No @ me	","sadness",	"0: no sadness can be inferred"
"2017-En-41285","	Líneas de no Deja tomarme a un sitio de fuerza definitiva cuándo  empiezo para sentir cansado. 💪🏾	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-41108","	i Soy le deprimido i l odio yo xDDdD #triste #deprime #loner #emo	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-40613","	@courtneymee soy 3 días sereno no lo quiere arruinar	","sadness",	"0: no sadness can be inferred"
"2017-En-40638","	Ya plotting pasos próximos si  consigo cortado fuera por el mismo minivan en mañana  gota-fuera de línea. #preschoolpolitics #momthings	","sadness",	"0: no sadness can be inferred"
"2017-En-40234","	La concienciación de tiempo es concienciación del tiempo perdió. #Tiempo #de concienciación #perdido	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40877","	Lo que una noche siniestra #GetTheFireLit 🔥	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40573","	Por qué es que nosotros rejoice en un nacimiento y apenar en un funeral?  Es porque no somos la persona implicó. ― Mark Twain	","sadness",	"0: no sadness can be inferred"
"2017-En-41114","	David Gilmour  más grande compliment? B.B. King le preguntó después de que una actuación si  nazca en Misisipi #pinkfloyd #theblues #davidgilmour #blues	","sadness",	"0: no sadness can be inferred"
"2017-En-40433","	@coalese 😂😂😂. Seguro a medias estas estrellas consiguen juntas,rotura arriba,tiene asuntos,porno dejado vids resbalón fuera,lucha,ect etc todo a allí arriba índices. #Los latidos 😂	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-40694","	tristes es con exactitud todopoderosos con respetar a alto-calidad alto-hablante de frecuencia en re el extra desolate relacionando para despedir-ea:…	","sadness",	"0: no sadness can be inferred"
"2017-En-40054","	@Hayles_101 El tres R es deprimirme.	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-41266","	@cristinalaila1 justo cuándo  pensé este hombre asqueroso no se podría hundir cualquier más bajo-gusta Hillary él el suyo depravity del carácter tiene no inferior	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-41174","	@yourKarma Logrando fuera OTRA VEZ en esperar contactar sobre los asuntos técnicos  estoy teniendo. Vuestro CS severamente está careciendo de. #badkarma #Infeliz	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-41271","	TVGirl es gusta  soy realmente bastante y melancólico aproximadamente la vida y esto es por qué me odio	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-40881","	@leighsteinberg abril 25.º, 2010 para mí. Mantiene arriba del trabajo bueno!! #Sereno #más orgulloso	","sadness",	"0: no sadness can be inferred"
"2017-En-40766","	también quién tiene albor de amazona que gustaría ayudar una chica fuera de LOL #serio	","sadness",	"0: no sadness can be inferred"
"2017-En-40120","	dónde roto hearted los amantes lloran fuera su gloom	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-41404","	les noches frías, oscuras despacio están arrastrándose en 🌌	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40362","	@PurpleReplisol meden está arrugando la frente en tú con su cara no existente	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-41341","	no Ha sido aquí un rato, sido mirando mucha televisión. Conclusión #whataloadoftat...Si no fui deprimido antes de que televisión de tarde es	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-22010","	@todofuku día terrible en trabajar n ahora im yendo para ser tarde para clase n im cubierto en pintura, n ahora i tiene que trabajar un cambio de noche también :/	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-40896","	Mis sobrinos n los primos son en ninguna parte tipos malos cercanos, pero podrían ser matados @ cualquier momento por un cop aquello pensó que eran bc de su color	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-40749","	@Lesdoggg tomarme con ti!! JK. Tiene divertido, relaja, conseguir un masaje o dos y frío. No come los pepinos, más los sitios arrugan la frente en aquel.	","sadness",	"0: no sadness can be inferred"
"2017-En-22156","	@Simon_Barrett I mirará @BlairWitchMovie cuándo  abre en México en una semana. Gracias Para hacerlo y no es desalentado.	","sadness",	"0: no sadness can be inferred"
"2017-En-40313","	Qué hacer u apenar alguien quién legalmente no fue una persona todavía?	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40928","	Encima 70% de social compartiendo es oscuro &amp; encima 50% de tráfico de web proviene #darksocial. @colinzalewski #LIFTSocial	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-40356","	@AliceGoodman17 i dunno,  estoy consiguiendo menos del spacious precioso autumnal melancholy de nuestro apocalipsis presente	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-40747","	@Damn_Lo_Dillon @SamUndomiel naturalmente! Esto es un feliz hentai, no un triste o gloomy un	","sadness",	"0: no sadness can be inferred"
"2017-En-40424","	Alcalde visita downtrodden parte o ciudad en valiente PR truco. Más en once.	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-41400","	 Sabes cuándo  eres justo ligeramente alto, el estado entre sereno y alto af? Aquello es bonito.  Deseo  podría sentir como aquel 24/7.	","sadness",	"0: no sadness can be inferred"
"2017-En-40133","	Puede yo justo sulk en paz 😂	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-41263","	el dios sabe por qué  querrías ir con una chica quién ha dormido con medio ya los compañeros #siniestros	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-22094","	Por qué  no cualquiera  sé penique de reloj terrible? ☹️️	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-20410","	@Theresa_Talbot @fleurrbie Haha...Triste sobre el terrible puns...  Necesito salir más.... He sido cooped arriba últimamente...	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40763","	@urbaneprofessor Asarles. Entonces risotto con salvia y frutos secos de pino	","sadness",	"0: no sadness can be inferred"
"2017-En-41448","	Joden yall @Panteras para contratar que GOP PR tipo para desalentar Cam de speakinh su mente y corazón aproximadamente racismo	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-40261","	Algunos de estas personas en esta protesta son justo allí para la prisa de adrenalina. #Deprimiendo	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-41105","	@jamiesonhelen @MarianKeyes todo tres de mi agin es en el pout .	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-40116","	@GoPro Vuestro UX on-line está horrorizando! Ningún claro salva botón, no siendo capaz de utilizar cualquier genérico TLD  #infeliz	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-41530","	@AceOperative789 ningún estirarle afew hace semanas, tristemente theres ningún audio de juego o el sonido afecta causa i jugado lo encima mi teléfono y tryed todo	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-40579","	@TheRandomAnt @meg_m203 yeah,  representaron que los ornamentos son manera más queridos que spektar y desolate marcha. Bien  pensaron bien.	","sadness",	"0: no sadness can be inferred"
"2017-En-40312","	@OnesOwnGrief Justo una vergüenza su mundo era gloom de día uno casi.Aunque  hace sentido  tenga la parte entera hydra,parte s.h.i.e.l.d(c)	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-41199","	Increíblemente impresionado y decepcionado con @servicio de cliente unido. Realmente haciéndome rethink vuelo con ellos en el futuro. #Infeliz	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-40113","	Maldito gutted, disheartened &amp; así que cabreó.Ido de 1 del más duro la mayoría de resolute defensas al peores &amp; la mayoría de shambolic #SCFC #STOHUL	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-40525","	Kudos a TC para benching Bruce. No está ayudando el equipo, así que  monta pino.  Tenemos juegos para ganar. Discusión encima. #Mets	","sadness",	"0: no sadness can be inferred"
"2017-En-40078","	Si cualquiera me necesito  seré inundar mi blues en un mar de whiskey 🍻	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-40473","	Una hora jugada y @ASFCofficial ha concedido menos en jamón Del oeste que @ManUtd tiene en northampton.  Dejado aquello se hunde en.	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-21150","	@1johndes la pelota que mira &amp; Rojo'd el encabezamiento era igualmente terrible!!	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-41142","	FYI os No puede llorar o celebrar shawty lo causa no sois jugados su música desde entonces 08'	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-40852","	y para inconsolable Oxford academics - 'Bruselas justo tendría que ignorar el #Brexit voto y decir el Reino Unido no pueda dejar la UE....Nunca....wah'	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-41306","	gloomy Los días justo tendrían que ser para altos cuddles y películas	","sadness",	"0: no sadness can be inferred"
"2017-En-40139","	uau casi todo el T-las tiendas Móviles en San Diego son fuera de Nota7 tristeza #de sustituciones I necesidad para conseguir la mina reemplazó	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-40264","	Complacer oso conmigo, no soy Twitter savvy😝 en vida real soy una persona de Facebook. Me ayudo seguidores de beneficio 🤓#bloguean #selfhelp #depresión	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40347","	@ArcadianLuthier -- sacando sus sentimientos en Kei injustamente. Sus labios forman un arrugar la frente tan  intenta andar fuera.	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-40027","	Cuándo  tienes 15 doe corrido el lado opuesto de ti 🙁 #depresión	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-40767","	 añadí Paul Walker en Xbox pero justo gasta todo de su tiempo en el dashboard.  #El humor #gracioso	","sadness",	"0: no sadness can be inferred"
"2017-En-41513","	A veces la red de soporte está causando el daño. \n\n#El soporte #Averió #sólo #cansado #perdió #hecho daño #nojustice #depresión #surivivor #NoMore	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-41090","	no consigue demasiado cercano es interior oscuro 🌫🌊	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-40905","	@InLuvWithAGhost  estoy arrugando la frente en ti intensely hasta que  miras memorias plásticas.	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-41424","	@danhirtle @Campana Otro cliente infeliz.  #secreteyes	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40658","	#AskAMan Pero esto no suena como un #asunto serio, causa siyahleka el tiempo entero, justo teniendo divertido	","sadness",	"0: no sadness can be inferred"
"2017-En-41475","	Cuánto tiempo   me lloramos?	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40158","	Haciendo que transición anual de universidad entusiasmada y esperanzadora returner a enfermo y agotó pessimist. #Universitario	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40366","	@HeyCaraJay  soy inconsolable en este GIF en contexto	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-41283","	@ChrisWarcraft especie cf. Don Jr. Bolos/de refugiados.Sabe le gustan sus bocados,pero incluso @gop arruga la frente encima hablando aproximadamente comiendo humanos #lizardscum	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-40012","	Después de que 3 idk por qué  empiezo sentir así que deprime, triste y solitario.	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-40341","	Un ticket de manera al blues.	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-40587","	@janhopis  Encontré el primeros pocos episodios de Bojack increíblemente graciosos. Entonces  consiga menos gracioso pero  me quedé para la #obra	","sadness",	"0: no sadness can be inferred"
"2017-En-40930","	@TheBenNatan szn 3 &gt;&gt;&gt; szn 1 &gt;&gt;&gt; szn 2. Justo para advertirte. No deja szn 2 te desalentas.	","sadness",	"0: no sadness can be inferred"
"2017-En-41182","	@ananavarro @tcarrels La mayoría de seguidores de Triunfo ha no pista sobre el significado de las palabras  utilizaron justo gustarle  #nevertrump	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-21978","	El horribles puns para el día ha sido hecho.  Regresaré a mi jaula en una esquina oscura por yo mientras llorando &amp; riendo hysterical ahora.	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-40724","	En todo caso  soy en un coche con unos hombres blancos furiosos y yo tienen una historia realmente graciosa para decir cuándo soy sereno 😂	","sadness",	"0: no sadness can be inferred"
"2017-En-41198","	Bojack Horseman: el espectáculo más triste nunca escrito?? #Estación #de depresión1	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-41115","	@OpentheDoorRadi da las gracias por jugar Crock el tarro que Va #blog #radiofónico #blues #música #indiemusic	","sadness",	"0: no sadness can be inferred"
"2017-En-40192","	Este tiempo me conseguí jodió arriba. Te gustas tampoco ser soleado y caliente o gloomy y frío. No en entre.	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40697","	Las vueltas récord Idiotas americanas doce hoy  cambie mi preppy corazón escolar medio a un desolate punk desierto de rock soy para siempre agradecido	","sadness",	"0: no sadness can be inferred"
"2017-En-40346","	Acabó escribir mi segundo libro esta noche. #somber #Triste #youpromised #havemercy #escritor #de autor #needpublisher #beingedited #workingonsidebook	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-41340","	no Ha sido aquí un rato, sido mirando mucha televisión. Conclusión #whataloadoftat...Si no fui deprimido antes de que televisión de tarde es #siniestra	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-40769","	@KatieBurnett ha freshers blues encantaría a re  todo otra vez ... ha Bueno tshirt .. Voto para Pedro	","sadness",	"0: no sadness can be inferred"
"2017-En-41196","	El fantasma de Stefano refleja en la indignidad siniestra de ser asesinado por corrupto cops en faux amor. #Días	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40890","	Cuándo la chica de surfista e  i no habla la misma lengua anymore.. #justsaying #Tristeza	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40892","	@AriZernial @NesquikMills no le deja desalentarte Z! Aquello es uno de las ideas mejores todavía!	","sadness",	"0: no sadness can be inferred"
"2017-En-41218","	 Es siempre encima.. Hasta que soy ya no sereno... Entonces  siente gusta I wana inicio sobre #UL	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40782","	Justo puesto el invierno duvet en ☃️❄️🌬☔️	","sadness",	"0: no sadness can be inferred"
"2017-En-40745","	@hyattd335 #Agradecido para #premio #novel #promo #RT - #Bendiciones DeWayne Hyatt #Hippie a quién le encanta para moler en el #blues #Florida	","sadness",	"0: no sadness can be inferred"
"2017-En-41445","	@_iConceitedOne_  Hola!  Odiamos que eres infeliz vuestra factura mantiene remontar! Qué características únicas   quieres con vuestro plan? ^ROBERTS	","sadness",	"0: no sadness can be inferred"
"2017-En-40903","	 no nunca crece cansado haciendo bueno.... No justo ver los titulares; mirada en las líneas de tendencia para esperanza.' @billclinton #CGI2016	","sadness",	"0: no sadness can be inferred"
"2017-En-40509","	Vida es demasiado corta de ser arrugando la frente para tan	","sadness",	"0: no sadness can be inferred"
"2017-En-41247","	largo oh, btw - después de que una 6 depresión de mes-tiempo libre  conseguía un relapse ahora... Arrendajo #de depresión	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-40621","	magnífica Z y Brad Pitt engañó ..Bey Angie quedada dejó #cheaters #pares #de sexo #de lujuria #de amor #divorcio #de matrimonio #de fecha #de relaciones	","sadness",	"0: no sadness can be inferred"
"2017-En-41163","	 quiero verter todas mis lágrimas encima alguien correcto ahora. Tan cansado de este #trastornado #triste	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-40761","	blues barra	","sadness",	"0: no sadness can be inferred"
"2017-En-40552","	 soy a ti, @Sargon_de_Akkad,  te sabes en secreto pino para un orden masculino, moralidad objetiva, y disciplinado transcendent búsquedas.	","sadness",	"0: no sadness can be inferred"
"2017-En-40239","	Theyve Sustituido el capote para una placa y pistola.' La opinión pública es acusación de Charlotte policía. #Oscuro #sadtimes #america #carrera	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-41499","	 estoy preocupado que sienta segura. #Infeliz	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-40383","	236:416 Mientras  sea en su atenuar y durmiendo hora,\nA tripulación de remiendos, groseros mechanicals,\n#AMNDBots	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-41210","	@MariamVeiszadeh #deprimiendo  es tan freaking cercano !	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40125","	 Conseguí diagnosticado con severo-la depresión extrema y yo no supieron había una diferencia entre aquellos dos lol	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-41505","	Este enteros #VanRE + la extradición podría convertir en la caja de una Pandora. JT Tiene ninguna idea sobre aquel murky corrupto guanxi en China; Sapo vs Dada ;-)	","sadness",	"0: no sadness can be inferred"
"2017-En-40006","	tristeza Extrema	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-21534","	#PeopleLikeMeBecause de alguna razón desconocida pero yo intentan desalentarlo	","sadness",	"0: no sadness can be inferred"
"2017-En-20082","	r U asustado para presentar delante de la clase? Ansiedad severa... whats Que r u triste a veces?? Va consigue ur la depresión comprobó IMEDIATELY!!!	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40131","	@HannahFJames  Soy distraught! 😭 Candice y su pout puede cabrear	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-40959","	@yesnicksearcy @counterparty A pesar de que no espero un trumpie para entender la diferencia entre cosas reales y pretender cosas.	","sadness",	"0: no sadness can be inferred"
"2017-En-40564","	@DinoHyogi Hakyeon Toma toda la atención afortunadamente, perching en Wonshik  hombro a sulk cuándo Jaehwan accidentalmente causó una explosión minúscula	","sadness",	"0: no sadness can be inferred"
"2017-En-40589","	@IMKristenBell @lauralittlelegs fruto seco de pino.... Chestnut....Cacahuete....Espera... Película incorrecta	","sadness",	"0: no sadness can be inferred"
"2017-En-40838","	@GolfStrat fuera de Rory inicios. Qué  vuestro B el grupo parece w/o le? Hideki Y Walker, y echar Reed o Knox en el pino?	","sadness",	"0: no sadness can be inferred"
"2017-En-40832","	@FFBren @CDCarter13 incluido para tristeza #máxima	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-41151","	 tememos no la verdad, incluso si lo ser gloomy, pero su counterfeit.- Berl Katznelson	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-40471","	El señor ME HAGO Un INSTRUMENTO DE VUESTRA PAZ — Donde hay odio, dejado me amor de cerda — Donde hay daño, perdón — Donde hay desesperación, esperanza	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-40652","	@DefiantSagacity — Hermione en una clase de gracias antes de corredero su plato propio fuera de él antes de arrugar la frente en Ron cuando  continúe a —	","sadness",	"0: no sadness can be inferred"
"2017-En-40381","	@ChibiReviews depresión de serie del Correo puede ser bastante mala, pero  mejore,  aposté alguien elegirá el novel pronto en el del oeste.	","sadness",	"1: low amount of sadness can be inferred"
"2017-En-40175","	Es manera demasiado duro no para conseguir desalentado.	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40491","	Vuelo 815 chocado en La Isla Perdida 2004 #perdió @JoshuaJThurston	","sadness",	"0: no sadness can be inferred"
"2017-En-40760","	soy tan orgulloso  entiende esto,  muestra amor, pensado y la compasión    y él no es hechos en un clouded manera..	","sadness",	"0: no sadness can be inferred"
"2017-En-21925","	@ThomasHCrown @laurakfillault Como histórico evangelical, I maravilla si el Donatists tuvo un punto? Qué clero terrible en mi fmr. Círculos.	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-20000","	 Siento gusta  estoy inundando. #Ansiedad #de depresión #falure #worthless	","sadness",	"3: high amount of sadness can be inferred"
"2017-En-41086","	Meghan está enseñando el blues en teclado fundamentals II y todo estos clásico majors es como WTF?!	","sadness",	"0: no sadness can be inferred"
"2017-En-40335","	@WestermannNina xDD Es una canción que no puede ser cansado (?)	","sadness",	"2: moderate amount of sadness can be inferred"
"2017-En-40811","	SOBRIETY®   Intentando hacer siendo sereno de moda….Puede lo ser hecho ? #zeroalcohol #soberoctober #clubsoda #nomorehangovers #Sereno	","sadness",	"0: no sadness can be inferred"
"2017-En-40711","	BLUES con BOB HADDRELL &amp; Huéspedes\nFri 23.º Sep 8:30pm - 11:00pm #blues #libres #TunbridgeWells	","sadness",	"0: no sadness can be inferred"
"2017-En-41221","	@RonBaker6694 I conseguía un super speeder y perdió mi licencia para 6 meses! 😩🔫	","sadness",	"2: moderate amount of sadness can be inferred"
